id;name;staticDataUrl;dynamicDataUrl;limitedAccess;uuid;latitude;longitude;city;country_code;province;region;mark;usage;accessPoints;capacity;contactPersons;minimumHeightInMeters;openingTimes;tariffs;Operator
4006;P+R Station Uithuizermeeden (Uithuizermeeden);https://npropendata.rdw.nl//parkingdata/v2/static/e1f5c8b6-e8d2-4a2e-bbea-c5a6626fae4f;;0;e1f5c8b6-e8d2-4a2e-bbea-c5a6626fae4f;53.413988;6.7207392;Het Hogeland;nl;Groningen;Noord-Nederland;good;park and ride;1;30;1;0;1;1;Eemsmond
4009;P+R Elst, Nieuwe Aamsestraat Elst (Overbetuwe);https://npropendata.rdw.nl//parkingdata/v2/static/06f82af4-b67d-408a-9505-3f5d1ac9dc15;;0;06f82af4-b67d-408a-9505-3f5d1ac9dc15;51.916893;5.8553593987635;Overbetuwe;nl;Gelderland;Oost-Nederland;average;park and ride;1;0;1;0;1;1;Overbetuwe
4011;P + R station Veenendaal-De Klomp Noord;https://npropendata.rdw.nl//parkingdata/v2/static/8bfefa99-a526-4ce8-b4e0-236d6b19bb23;https://npropendata.rdw.nl//parkingdata/v2/dynamic/8bfefa99-a526-4ce8-b4e0-236d6b19bb23;0;8bfefa99-a526-4ce8-b4e0-236d6b19bb23;52.04588335;5.5755690929931;Ede;nl;Gelderland;Oost-Nederland;good;park and ride;1;281;1;0;1;1;Nederlandse Spoorwegen
4014;P+R Stationsstraat (Roosendaal);https://npropendata.rdw.nl//parkingdata/v2/static/9e45cd71-c7b7-4bbd-99d5-50ec58346a09;https://npropendata.rdw.nl//parkingdata/v2/dynamic/9e45cd71-c7b7-4bbd-99d5-50ec58346a09;1;9e45cd71-c7b7-4bbd-99d5-50ec58346a09;51.53872595;4.4565593957095;Roosendaal;nl;Noord-Brabant;Zuid-Nederland;good;park and ride;1;169;1;0;1;0;Q-Park Nederland BV
4016;P+R station Vlaardingen-Oost, Burg van Lierplein, Vlaardingen (Vlaardingen);https://npropendata.rdw.nl//parkingdata/v2/static/7b2516e0-f874-45ab-86d0-22a9e254c8cb;;0;7b2516e0-f874-45ab-86d0-22a9e254c8cb;51.909958884559;4.3594546077848;Vlaardingen;nl;Zuid-Holland;Zuidwest-Nederland;good;park and ride;1;30;0;0;1;1;Nederlandse Spoorwegen
4017;Nieuwerkerk aan den IJssel;https://npropendata.rdw.nl//parkingdata/v2/static/e857c561-8cd9-47f6-8f1e-2597dfb7df34;;0;e857c561-8cd9-47f6-8f1e-2597dfb7df34;51.9654935;4.6157106;Zuidplas;nl;Zuid-Holland;Zuidwest-Nederland;good;park and ride;1;64;1;0;1;1;Nederlandse Spoorwegen
4018;P+R Mareheiweg (Klimmen Ransdaal);https://npropendata.rdw.nl//parkingdata/v2/static/f7e4a75c-79a2-41c7-b12e-aa88bff379f1;;0;f7e4a75c-79a2-41c7-b12e-aa88bff379f1;50.8664646;5.8900912;Voerendaal;nl;Limburg;Zuid-Nederland;good;park and ride;1;10;1;0;1;1;Nederlandse Spoorwegen
4019;P + R station Breukelen ZO P1;https://npropendata.rdw.nl//parkingdata/v2/static/2c1cb38b-92ac-416c-a5a2-e3ee21d8180e;https://npropendata.rdw.nl//parkingdata/v2/dynamic/2c1cb38b-92ac-416c-a5a2-e3ee21d8180e;0;2c1cb38b-92ac-416c-a5a2-e3ee21d8180e;52.16948125;4.9914630850601;Stichtse Vecht;nl;Utrecht;Noordwest-Nederland;average;park and ride;1;200;0;0;1;0;Nederlandse Spoorwegen
4021;P + R staton Abcoude;https://npropendata.rdw.nl//parkingdata/v2/static/80e6904b-0183-46dc-9d75-5238487d89ad;https://npropendata.rdw.nl//parkingdata/v2/dynamic/80e6904b-0183-46dc-9d75-5238487d89ad;0;80e6904b-0183-46dc-9d75-5238487d89ad;52.2775135;4.9767222;De Ronde Venen;nl;Utrecht;Noordwest-Nederland;good;park and ride;1;50;0;0;1;1;Nederlandse Spoorwegen
4033;P+R Spijkenisse Heemraadlaan (Spijkenisse);https://npropendata.rdw.nl//parkingdata/v2/static/c25ca98b-8a68-4000-8d81-0e9ed50b8415;;0;c25ca98b-8a68-4000-8d81-0e9ed50b8415;51.8368691;4.3320600915358;Nissewaard;nl;Zuid-Holland;Zuidwest-Nederland;good;park and ride;1;245;1;0;1;1;Nissewaard
4034;P+R Station Geldrop (Geldrop);https://npropendata.rdw.nl//parkingdata/v2/static/c72a1c2c-f0ea-41c9-babf-c5725ef50a77;;0;c72a1c2c-f0ea-41c9-babf-c5725ef50a77;51.420545768187;5.5479732567253;Geldrop-Mierlo;nl;Noord-Brabant;Zuid-Nederland;good;park and ride;1;37;1;0;1;1;Geldrop-Mierlo
4040;P+R Station Voorburg 't Loo Sint Martinuslaan (Voorburg);https://npropendata.rdw.nl//parkingdata/v2/static/14a0ef4e-0425-445b-8da1-0a888d7c423b;;0;14a0ef4e-0425-445b-8da1-0a888d7c423b;52.0816192;4.3662825542871;Leidschendam-Voorburg;nl;Zuid-Holland;Zuidwest-Nederland;good;park and ride;1;50;1;0;1;1;Leidschendam-Voorburg
4041;P+R Station Den Haag Mariahoeve (Voorburg);https://npropendata.rdw.nl//parkingdata/v2/static/4d142fad-9ac7-4c12-98fa-9daefc3b57cd;;0;4d142fad-9ac7-4c12-98fa-9daefc3b57cd;52.0906728;4.3703546647034;Leidschendam-Voorburg;nl;Zuid-Holland;Zuidwest-Nederland;good;park and ride;1;212;1;0;1;1;Leidschendam-Voorburg
4045;P+R Rodenrijs (Berkel en Rodenrijs);https://npropendata.rdw.nl//parkingdata/v2/static/6ed0c121-0be9-4922-a2f1-29a1aa0fe99a;;0;6ed0c121-0be9-4922-a2f1-29a1aa0fe99a;51.97535815;4.4600846239931;Lansingerland;nl;Zuid-Holland;Zuidwest-Nederland;good;park and ride;1;127;1;0;1;1;Lansingerland
4047;P+R Stationsweg (Anna Paulowna);https://npropendata.rdw.nl//parkingdata/v2/static/282521fc-7b8a-4f13-b46b-929daa4e575d;;0;282521fc-7b8a-4f13-b46b-929daa4e575d;52.8676074;4.811433;Hollands Kroon;nl;Noord-Holland;Noordwest-Nederland;good;park and ride;1;110;1;0;1;1;Hollands Kroon
4088;P+R Spijkenisse Heemraadlaan Noordzijde (Spijkenisse);https://npropendata.rdw.nl//parkingdata/v2/static/3edd48f5-712a-4382-bdf0-3808ad5a1a39;;0;3edd48f5-712a-4382-bdf0-3808ad5a1a39;51.8406396;4.3314537;Nissewaard;nl;Zuid-Holland;Zuidwest-Nederland;good;park and ride;1;121;1;0;1;1;Nissewaard
